SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\a52b0784bd667468.automaticDestinations-ms,2018-03-31 15:37:03,2018-03-31 15:37:21,2022-11-03 23:08:57,a52b0784bd667468,Photos Microsoft 16.526.11220.0 (Windows 10),4,3,0,3,2018-03-29 02:06:09,2018-03-31 15:37:21,ethomas_desktop,34:68:95:94:f8:5c,E:\Cat with Tongue Out.jpg,1,False,bf6f54ac-32f5-11e8-82df-34689594f85c,bf6f54ac-32f5-11e8-82df-34689594f85c,,,2018-03-30 19:18:13,2018-03-30 19:18:13,2018-03-30 19:18:13,5919,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",7295345F,Personal USB,E:\Cat with Tongue Out.jpg,,My Computer\E:\,0x2A,0x2,ethomas_desktop,34:68:95:94:f8:5c,2018-03-29 02:06:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\a52b0784bd667468.automaticDestinations-ms,2018-03-31 15:37:03,2018-03-31 15:37:21,2022-11-03 23:08:57,a52b0784bd667468,Photos Microsoft 16.526.11220.0 (Windows 10),4,3,1,2,2018-03-29 02:06:09,2018-03-31 15:37:14,ethomas_desktop,34:68:95:94:f8:5c,E:\Cat in cute pose.jpg,1,False,bf6f54a8-32f5-11e8-82df-34689594f85c,bf6f54a8-32f5-11e8-82df-34689594f85c,,,2018-03-30 19:17:31,2018-03-30 19:17:31,2018-03-30 19:17:31,25880,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",7295345F,Personal USB,E:\Cat in cute pose.jpg,,My Computer\E:\,0x28,0x2,ethomas_desktop,34:68:95:94:f8:5c,2018-03-29 02:06:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\a52b0784bd667468.automaticDestinations-ms,2018-03-31 15:37:03,2018-03-31 15:37:21,2022-11-03 23:08:57,a52b0784bd667468,Photos Microsoft 16.526.11220.0 (Windows 10),4,3,2,1,2018-03-29 02:06:09,2018-03-31 15:37:03,ethomas_desktop,34:68:95:94:f8:5c,E:\Adorable Cats.jpg,1,False,bf6f54a7-32f5-11e8-82df-34689594f85c,bf6f54a7-32f5-11e8-82df-34689594f85c,,,2018-03-30 19:17:09,2018-03-30 19:17:09,2018-03-30 19:17:09,14901,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",7295345F,Personal USB,E:\Adorable Cats.jpg,,My Computer\E:\,0x27,0x2,ethomas_desktop,34:68:95:94:f8:5c,2018-03-29 02:06:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\83dd64e7fa560bd5.automaticDestinations-ms,2018-03-31 15:38:21,2018-03-31 15:38:21,2018-03-31 15:38:21,83dd64e7fa560bd5,LibreOffice 5.1.0.3 Calc,4,1,0,1,2018-03-31 12:47:08,2018-03-31 15:38:21,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethan_local\Documents\Sensitive Potential Client List.xlsx,1,False,9f9d44a2-34e1-11e8-a404-34689594f85c,9f9d44a2-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 15:38:15,2018-03-31 14:22:40,2018-03-31 15:38:15,7412,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Documents\Sensitive Potential Client List.xlsx,,My Computer\C:\\\\,0x17D43,0x4,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\9d1f905ce5044aee.automaticDestinations-ms,2018-03-31 14:47:55,2018-03-31 14:47:55,2018-03-31 14:47:55,9d1f905ce5044aee,Edge Browser,4,1,0,1,,2018-03-31 14:47:55,,,microsoft-edge:https://www.msn.com/spartan/dhpwinfre?contentId=wwe.new.edge.filesondemand.tips.2017.10&tcContentId=9f178581f9f441aab21d3093fb781275&tcContentPath=//item[0]&OCID=ems.display.welcomeexperience&CCID=,1,False,,,,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Internet Explorer (Homepage)\microsoft-edge:https://www.msn.com/spartan/dhpwinfre?contentId=wwe.new.edge.filesondemand.tips.2017.10&tcContentId=9f178581f9f441aab21d3093fb781275&tcContentPath=//item[0]&OCID=ems.display.welcomeexperience&CCID=,,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\1bc392b8e104a00e.automaticDestinations-ms,2018-03-31 17:15:16,2018-03-31 17:16:28,2022-11-03 23:08:57,1bc392b8e104a00e,Remote Desktop Connection 6.1.7600 (Win7),4,1,0,1,,2018-03-31 17:16:28,,,39b9562fcbc90812,2,False,,,,,2017-09-29 13:42:03,2017-09-29 13:42:03,2017-09-29 13:42:03,3630080,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Windows\System32\mstsc.exe,,My Computer\C:\\\,0xBAD1,0x1,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock","/v:""ia5210.ccs.neu.edu:10101""",
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\d38a3ea7ec79fbed.automaticDestinations-ms,2018-03-31 15:38:34,2018-03-31 23:10:55,2022-11-03 23:08:16,d38a3ea7ec79fbed,LibreOffice 5.1.0.3 Writer,4,4,0,4,2018-03-31 12:47:08,2018-03-31 23:10:55,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethan_local\Desktop\Ethan Thomas Resignation Letter.docx,4,False,9f9d4519-34e1-11e8-a404-34689594f85c,9f9d4519-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 15:54:33,2018-03-31 15:54:33,2018-03-31 15:54:33,4619,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Desktop\Ethan Thomas Resignation Letter.docx,,My Computer\C:\\\\,0x25AE2,0x1,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\d38a3ea7ec79fbed.automaticDestinations-ms,2018-03-31 15:38:34,2018-03-31 23:10:55,2022-11-03 23:08:16,d38a3ea7ec79fbed,LibreOffice 5.1.0.3 Writer,4,4,1,1,2018-03-31 12:47:08,2018-03-31 16:04:38,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethan_local\Documents\EthanThomas_Notes.docx,2,False,9f9d44ae-34e1-11e8-a404-34689594f85c,9f9d44ae-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 15:38:15,2018-03-31 14:44:00,2018-03-31 15:38:15,9015,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Documents\EthanThomas_Notes.docx,,My Computer\C:\\\\,0x17D44,0x2,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\d38a3ea7ec79fbed.automaticDestinations-ms,2018-03-31 15:38:34,2018-03-31 23:10:55,2022-11-03 23:08:16,d38a3ea7ec79fbed,LibreOffice 5.1.0.3 Writer,4,4,2,2,2018-03-31 12:47:08,2018-03-31 16:04:33,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethan_local\Documents\Intellectual Property Document.docx,3,False,9f9d44b6-34e1-11e8-a404-34689594f85c,9f9d44b6-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 15:38:15,2018-03-30 18:01:50,2018-03-31 15:38:15,16063,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Documents\Intellectual Property Document.docx,,My Computer\C:\\\\,0x17D60,0x3,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\d38a3ea7ec79fbed.automaticDestinations-ms,2018-03-31 15:38:34,2018-03-31 23:10:55,2022-11-03 23:08:16,d38a3ea7ec79fbed,LibreOffice 5.1.0.3 Writer,4,4,3,3,2018-03-31 12:47:08,2018-03-31 15:39:16,ethomas_desktop,34:68:95:94:f8:5c,E:\Intellectual Property Document.docx,1,False,9f9d44c8-34e1-11e8-a404-34689594f85c,9f9d44c8-34e1-11e8-a404-34689594f85c,,,2018-03-31 15:39:16,2018-03-31 15:39:16,2018-03-31 15:39:16,9015,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",7295345F,Personal USB,E:\Intellectual Property Document.docx,,My Computer\E:\,0x39,0x1,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2018-03-31 14:47:44,2018-03-31 23:11:20,2022-11-03 23:08:16,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,7,0,1,2018-03-31 12:47:08,2018-03-31 23:10:55,ethomas_desktop,34:68:95:94:f8:5c,knownfolder:{754AC886-DF64-4CBA-86B5-F7FBF4FBCEF5} ==> ThisPCDesktopFolder,7,True,9f9d4107-34e1-11e8-a404-34689594f85c,9f9d4107-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 14:47:33,2018-03-31 23:11:20,2018-03-31 23:11:20,4096,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Desktop,,My Computer\Desktop,,,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2018-03-31 14:47:44,2018-03-31 23:11:20,2022-11-03 23:08:16,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,7,1,3,2018-03-31 12:47:08,2018-03-31 16:04:33,ethomas_desktop,34:68:95:94:f8:5c,knownfolder:{FDD39AD0-238F-46AF-ADB4-6C85480369C7} ==> Documents,7,True,9f9d4104-34e1-11e8-a404-34689594f85c,9f9d4104-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 14:47:33,2018-03-31 16:04:42,2018-03-31 16:04:42,4096,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Documents,,My Computer\Documents,,,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
