SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2018-03-31 14:47:44,2018-03-31 23:11:20,2022-11-03 23:08:16,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,7,2,2,2018-03-31 12:47:08,2018-03-31 15:42:45,ethomas_desktop,34:68:95:94:f8:5c,knownfolder:{374DE290-123F-4565-9164-39C4925E467B} ==> Downloads,4,True,9f9d4108-34e1-11e8-a404-34689594f85c,9f9d4108-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 14:47:33,2018-03-31 15:42:45,2018-03-31 15:42:45,4096,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Downloads,,My Computer\Downloads,,,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2018-03-31 14:47:44,2018-03-31 23:11:20,2022-11-03 23:08:16,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,7,3,7,2018-03-26 23:59:26,2018-03-31 15:38:15,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethomas\Documents,1,False,b6decf3f-3151-11e8-a401-34689594f85c,b6decf3f-3151-11e8-a401-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-27 00:09:38,2018-03-31 14:45:54,2018-03-31 14:45:54,4096,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethomas\Documents,,My Computer\C:\Users\\Documents,0x16A28,0x1,ethomas_desktop,34:68:95:94:f8:5c,2018-03-26 23:59:26,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2018-03-31 14:47:44,2018-03-31 23:11:20,2022-11-03 23:08:16,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,7,4,6,2018-03-31 12:47:08,2018-03-31 14:47:44,ethomas_desktop,34:68:95:94:f8:5c,knownfolder:{18989B1D-99B5-455B-841C-AB7C74E4DDFC} ==> Videos,3,False,9f9d4103-34e1-11e8-a404-34689594f85c,9f9d4103-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 14:47:33,2018-03-31 14:47:39,2018-03-31 14:47:39,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Videos,,My Computer\Videos,,,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2018-03-31 14:47:44,2018-03-31 23:11:20,2022-11-03 23:08:16,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,7,5,5,2018-03-31 12:47:08,2018-03-31 14:47:44,ethomas_desktop,34:68:95:94:f8:5c,knownfolder:{4BD8D571-6D19-48D3-BE97-422220080E43} ==> Music,3,False,9f9d4106-34e1-11e8-a404-34689594f85c,9f9d4106-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 14:47:33,2018-03-31 14:47:39,2018-03-31 14:47:39,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Music,,My Computer\Music,,,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2018-03-31 14:47:44,2018-03-31 23:11:20,2022-11-03 23:08:16,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,7,6,4,2018-03-31 12:47:08,2018-03-31 14:47:44,ethomas_desktop,34:68:95:94:f8:5c,knownfolder:{33E28130-4E1E-4676-835A-98395C3BC3BB} ==> Pictures,3,True,9f9d4105-34e1-11e8-a404-34689594f85c,9f9d4105-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 14:47:33,2018-03-31 14:47:39,2018-03-31 14:47:39,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Pictures,,My Computer\Pictures,,,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\12dc1ea8e34b5a6.automaticDestinations-ms,2018-03-31 15:37:07,2018-03-31 15:37:08,2022-11-03 23:08:16,12dc1ea8e34b5a6,Microsoft Paint 6.1,4,1,0,1,2018-03-29 02:06:09,2018-03-31 15:37:08,ethomas_desktop,34:68:95:94:f8:5c,E:\Adorable Cats.jpg,1,False,bf6f54a7-32f5-11e8-82df-34689594f85c,bf6f54a7-32f5-11e8-82df-34689594f85c,,,2018-03-30 19:17:09,2018-03-30 19:17:09,2018-03-30 19:17:09,14901,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",7295345F,Personal USB,E:\Adorable Cats.jpg,,My Computer\E:\,0x27,0x2,ethomas_desktop,34:68:95:94:f8:5c,2018-03-29 02:06:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-31 14:48:04,2018-03-31 23:10:56,2022-11-03 23:08:57,5f7b5f1e01b83767,Quick Access,4,8,0,8,2018-03-31 12:47:08,2018-03-31 23:10:56,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethan_local\Desktop\Ethan Thomas Resignation Letter.docx,3,False,9f9d4519-34e1-11e8-a404-34689594f85c,9f9d4519-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 15:54:33,2018-03-31 15:54:44,2018-03-31 15:54:33,4620,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Desktop\Ethan Thomas Resignation Letter.docx,,My Computer\C:\\\\,0x25AE2,0x1,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-31 14:48:04,2018-03-31 23:10:56,2022-11-03 23:08:57,5f7b5f1e01b83767,Quick Access,4,8,1,5,2018-03-31 12:47:08,2018-03-31 16:04:39,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethan_local\Documents\EthanThomas_Notes.docx,2,False,9f9d44ae-34e1-11e8-a404-34689594f85c,9f9d44ae-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 15:38:15,2018-03-31 14:44:00,2018-03-31 15:38:15,9015,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Documents\EthanThomas_Notes.docx,,My Computer\C:\\\\,0x17D44,0x2,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-31 14:48:04,2018-03-31 23:10:56,2022-11-03 23:08:57,5f7b5f1e01b83767,Quick Access,4,8,2,6,2018-03-31 12:47:08,2018-03-31 16:04:34,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethan_local\Documents\Intellectual Property Document.docx,2,False,9f9d44b6-34e1-11e8-a404-34689594f85c,9f9d44b6-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 15:38:15,2018-03-30 18:01:50,2018-03-31 15:38:15,16063,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Documents\Intellectual Property Document.docx,,My Computer\C:\\\\,0x17D60,0x3,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-31 14:48:04,2018-03-31 23:10:56,2022-11-03 23:08:57,5f7b5f1e01b83767,Quick Access,4,8,3,7,2018-03-31 12:47:08,2018-03-31 15:39:16,ethomas_desktop,34:68:95:94:f8:5c,E:\Intellectual Property Document.docx,1,False,9f9d44c8-34e1-11e8-a404-34689594f85c,9f9d44c8-34e1-11e8-a404-34689594f85c,,,2018-03-31 15:39:16,2018-03-31 15:39:16,2018-03-31 15:39:16,9015,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",7295345F,Personal USB,E:\Intellectual Property Document.docx,,My Computer\E:\,0x39,0x1,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-31 14:48:04,2018-03-31 23:10:56,2022-11-03 23:08:57,5f7b5f1e01b83767,Quick Access,4,8,4,4,2018-03-31 12:47:08,2018-03-31 15:38:22,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethan_local\Documents\Sensitive Potential Client List.xlsx,1,False,9f9d44a2-34e1-11e8-a404-34689594f85c,9f9d44a2-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 15:38:15,2018-03-31 14:22:40,2018-03-31 15:38:15,7412,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Documents\Sensitive Potential Client List.xlsx,,My Computer\C:\\\\,0x17D43,0x4,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-31 14:48:04,2018-03-31 23:10:56,2022-11-03 23:08:57,5f7b5f1e01b83767,Quick Access,4,8,5,3,2018-03-29 02:06:09,2018-03-31 15:37:21,ethomas_desktop,34:68:95:94:f8:5c,E:\Cat with Tongue Out.jpg,1,False,bf6f54ac-32f5-11e8-82df-34689594f85c,bf6f54ac-32f5-11e8-82df-34689594f85c,,,2018-03-30 19:18:13,2018-03-30 19:18:13,2018-03-30 19:18:13,5919,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",7295345F,Personal USB,E:\Cat with Tongue Out.jpg,,My Computer\E:\,0x2A,0x2,ethomas_desktop,34:68:95:94:f8:5c,2018-03-29 02:06:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-31 14:48:04,2018-03-31 23:10:56,2022-11-03 23:08:57,5f7b5f1e01b83767,Quick Access,4,8,6,2,2018-03-29 02:06:09,2018-03-31 15:37:14,ethomas_desktop,34:68:95:94:f8:5c,E:\Cat in cute pose.jpg,1,False,bf6f54a8-32f5-11e8-82df-34689594f85c,bf6f54a8-32f5-11e8-82df-34689594f85c,,,2018-03-30 19:17:31,2018-03-30 19:17:31,2018-03-30 19:17:31,25880,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",7295345F,Personal USB,E:\Cat in cute pose.jpg,,My Computer\E:\,0x28,0x2,ethomas_desktop,34:68:95:94:f8:5c,2018-03-29 02:06:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-31 14:48:04,2018-03-31 23:10:56,2022-11-03 23:08:57,5f7b5f1e01b83767,Quick Access,4,8,7,1,2018-03-29 02:06:09,2018-03-31 15:37:03,ethomas_desktop,34:68:95:94:f8:5c,E:\Adorable Cats.jpg,1,False,bf6f54a7-32f5-11e8-82df-34689594f85c,bf6f54a7-32f5-11e8-82df-34689594f85c,,,2018-03-30 19:17:09,2018-03-30 19:17:09,2018-03-30 19:17:09,14901,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",7295345F,Personal USB,E:\Adorable Cats.jpg,,My Computer\E:\,0x27,0x2,ethomas_desktop,34:68:95:94:f8:5c,2018-03-29 02:06:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
